Emoji	Count
🙋🏼‍♀️	61
🙇🏼‍♀️	61
🖕🏽	61
🔚	61
🏉	61
🇨🇿	61
✍🏼	61
↔️	61
📃	60
💏	60
👨‍👩‍👧	60
🏄‍♂️	60
⚖	60
☪️	60
🗨️	59
👩‍🎓	59
👨‍🚀	59
🇰🇪	59
☂	59
↙️	59
🪜	58
🧘‍♀️	58
🧅	58
🦶🏻	58
🤸🏻‍♂️	58
🤟🏼	58
🤚🏾	58
🤚🏼	58
🚓	58
🏃🏻	58
🇭🇺	58
🇨🇲	58
❇	58
⛲	58
◻️	58
🧽	57
🧎‍♂️	57
🤿	57
🙎‍♀️	57
🙅‍♂️	57
🗝️	57
🕵️‍♂️	57
🕥	57
👆🏽	57
⬅	57
🧾	56
🛢️	56
🛠	56
📼	56
🏭	56
🇩🇴	56
☄	56
🦵	55
🦘	55
👩‍⚕️	55
🏑	55
🪣	54
🧒	54
🧍‍♂️	54
🦚	54
🥅	54
🤦🏽	54
🤙🏾	54
🕑	54
👮‍♂️	54
🏜️	54
🇺🇬	54
✒	54
⛪	54
♏	54
♍	54
🥙	53
🚒	53
🖋️	53
🔂	53
💂	53
👸🏼	53
👮🏻‍♀️	53
👩‍❤️‍👨	53
🎅🏻	53
🇺🇳	53
🇸🇾	53
🙇‍♀	52
🙆🏻	52
🔣	52
👐🏻	52
🏒	52
🇱🇹	52
🇫🇮	52
✍🏽	52
🤜🏻	51
🤛🏻	51
🛩️	51
🛎️	51
🛋	51
🕺🏼	51
🕰️	51
🕓	51
👊🏿	51
🆖	51
✂	51
🧥	50
🧑‍🤝‍🧑	50
🦟	50
🤳🏻	50
🛏	50
🏔	50
🇱🇷	50
⬆	50
🪺	49
🧲	49
🧘	49
🤘🏽	49
💆🏽‍♀️	49
👋🏽	49
🏧	49
🈶	49
🧑🏻	48
🧑‍💻	48
🤟🏽	48
🤘🏾	48
🖍	48
🐫	48
🌨️	48
🈚	48
🇱🇻	48
✝	48
⏫	48
🔯	47
👈🏾	47
👁‍🗨	47
🌩	47
🪱	46
🧞‍♂️	46
🥼	46
🚎	46
👸🏽	46
👩‍❤️‍💋‍👨	46
👨🏻	46
🧙	45
🧇	45
🦛	45
🤷🏿‍♂️	45
🛣️	45
👎🏾	45
👆🏿	45
🏊	45
🌩️	45
🈲	45
🇲🇲	45
🇨🇼	45
⛱️	45
⛏️	45
☢	45
🧟	44
🧔🏻‍♂️	44
🧄	44
🥎	44
🤷🏻	44
🚖	44
🏔️	44
🫴🏻	43
🥋	43
🚇	43
🙇🏽‍♂️	43
🕵️‍♀️	43
👩🏻‍🌾	43
👨‍👩‍👧‍👦	43
👨‍🌾	43
🏞	43
🇵🇦	43
🇬🇹	43
🇨🇩	43
✡️	43
♐	43
↙	43
🫳	42
🧌	42
🦪	42
💽	42
👮‍♀️	42
♊	42
📟	41
💆‍♀️	41
👩‍🚀	41
👨‍💻	41
🏙️	41
🇳🇿	41
⛑	41
☣️	41
↕️	41
🪗	40
🧚🏻	40
🦡	40
🕖	40
💑	40
🇲🇱	40
⚰	40
🧍🏽‍♀️	39
🚆	39
🙆🏼‍♀️	39
👰	39
👩🏻‍🦰	39
👩🏻‍🦯	39
🈯	39
⏲	39
🫲	38
🤸‍♂️	38
🛢	38
🙆🏾‍♂️	38
🖕🏾	38
🔬	38
👩‍🦰	38
🏜	38
🏕️	38
🏌️‍♂️	38
🌦️	38
🈷️	38
✡	38
☝🏾	38
☝🏽	38
⏯️	38
🛶	37
🛖	37
🚭	37
🚅	37
📏	37
👪	37
👩‍🦳	37
👎🏽	37
🇪🇪	37
⛸	37
🪟	36
🥽	36
🤟🏿	36
🛳	36
🚶🏻	36
🚣	36
🚍	36
🔢	36
💅🏽	36
🇧🇴	36
🧛‍♂️	35
🧔🏻	35
🤰🏽	35
🕺🏾	35
💆🏻‍♀️	35
👩🏼‍🦰	35
👌🏿	35
🏘️	35
🎳	35
🌦	35
🇭🇳	35
🇦🇫	35
🫘	34
🧗‍♂️	34
🧍🏻	34
🦫	34
🥫	34
🚸	34
🚐	34
🙋🏻	34
🗒	34
🗂	34
👴🏻	34
👨‍🏫	34
🏘	34
🏋️	34
🏃🏼‍♀️	34
🇿🇼	34
🇷🇼	34
↘	34
🫱🏻‍🫲🏼	33
🪢	33
🤰🏻	33
🚞	33
🙋🏽‍♀️	33
🙅🏻‍♂️	33
👷‍♂️	33
🈁	33
🇮🇸	33
☮	33
🧛	32
🧏🏻‍♀️	32
🙋🏾‍♂️	32
🙇🏽‍♀️	32
🗒️	32
🔕	32
👩🏻‍💻	32
👩‍❤️‍💋‍👩	32
🏋️‍♂️	32
🇹🇿	32
♓	32
🧚🏻‍♂️	31
🧑‍🚀	31
🦸‍♂️	31
🤘🏿	31
🕴	31
💱	31
🏗️	31
🏗	31
🏌️	31
🆒	31
♑	31
🫓	30
🦸	30
🦬	30
🦏	30
🛟	30
🙋🏼‍♂️	30
🕙	30
👋🏾	30
🏊‍♂️	30
🌡️	30
🇧🇭	30
◻	30
🧚🏾‍♀️	29
🧘🏻‍♀️	29
🤸🏻‍♀️	29
🤴🏻	29
🤜🏽	29
👱🏻‍♀️	29
👰‍♀️	29
👩‍🏫	29
🏋‍♂️	29
🏃🏽‍♀️	29
🌡	29
ℹ	29
🫱	28
🪝	28
🪃	28
🧑‍🎨	28
🥷🏾	28
🥠	28
🤲🏿	28
🤦🏿	28
🙇‍♂	28
🙅🏽‍♀️	28
🔏	28
👩‍🍳	28
👦🏼	28
🇱🇧	28
♿	28
🫰🏽	27
🧕	27
🧓🏼	27
🤱	27
🤦🏾	27
🤞🏿	27
🛏️	27
🖖🏻	27
🔀	27
👩‍🎤	27
🏬	27
🇲🇻	27
🇲🇨	27
🇱🇾	27
➿	27
✋🏽	27
*️⃣	27
🧎🏽‍♀️	26
🤸🏾‍♂️	26
🛻	26
🙎🏾‍♂️	26
🖕🏿	26
📤	26
👨‍✈️	26
👆🏼	26
🇭🇹	26
🇧🇻	26
⚱️	26
☦️	26
🧖‍♀️	25
🧓	25
🧑‍🦯	25
🧎🏻	25
🧆	25
🦶🏽	25
🥮	25
🛴	25
💁🏻‍♂️	25
👨‍👩‍👧‍👧	25
👝	25
🏋️‍♀️	25
🈴	25
㊙	25
🪚	24
🪘	24
🧰	24
🤛🏽	24
🚶🏾‍♂️	24
🙆🏿‍♂️	24
🕕	24
📐	24
👱‍♀️	24
👰🏻‍♀️	24
👩‍❤️‍👩	24
👨‍❤️‍💋‍👨	24
👂🏻	24
🏻	24
🏊🏻	24
🇷🇴	24
🇳🇦	24
🇧🇼	24
🧑	23
🧍🏼‍♀️	23
🦹	23
🤌🏿	23
🛥	23
🛋️	23
🙋🏽‍♂️	23
🙇🏼‍♂️	23
🕴️	23
🏚	23
🏄	23
🇸🇴	23
🇬🇺	23
🇧🇩	23
🇧🇦	23
⛹️‍♀️	23
🫵🏽	22
🩻	22
🧑‍🍳	22
🦶🏼	22
🛺	22
💆‍♂️	22
👩‍💼	22
🇰🇵	22
✍🏾	22
↖️	22
🦨	21
🚋	21
🙆🏿‍♀️	21
🖱️	21
🔩	21
📠	21
👨🏻‍🦳	21
👨‍🦲	21
🏳‍⚧	21
🌁	21
⛸️	21
☸️	21
🪫	20
🧜‍♂️	20
🧜	20
🦃	20
🥷🏻	20
🤝🏿	20
🛷	20
🚾	20
🕢	20
💅🏾	20
👶🏼	20
👩‍🌾	20
👨‍🎓	20
👃🏾	20
👃🏻	20
🏃🏽‍♂️	20
